# Step, Time, Vinf, Density, AoA
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.000000000000000000e+00,4.000000000000000083e-02,5.002261446773526465e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.000000000000000000e+00,8.000000000000000167e-02,5.009004873962030757e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.000000000000000000e+00,1.199999999999999956e-01,5.020108282352247819e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.000000000000000000e+00,1.600000000000000033e-01,5.035370793807545375e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.000000000000000000e+00,2.000000000000000111e-01,5.054516285469631498e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.000000000000000000e+00,2.399999999999999911e-01,5.077198385255730528e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.000000000000000000e+00,2.800000000000000266e-01,5.103006738274818765e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.000000000000000000e+00,3.200000000000000067e-01,5.131474430793575792e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.000000000000000000e+00,3.599999999999999867e-01,5.162086437440830622e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.000000000000000000e+01,4.000000000000000222e-01,5.194288938827274826e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.100000000000000000e+01,4.400000000000000022e-01,5.227499341010029887e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.200000000000000000e+01,4.799999999999999822e-01,5.261116815534185420e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.300000000000000000e+01,5.200000000000000178e-01,5.294533169365367442e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.400000000000000000e+01,5.600000000000000533e-01,5.327143848059139764e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.500000000000000000e+01,5.999999999999999778e-01,5.358358873102585740e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.600000000000000000e+01,6.400000000000000133e-01,5.387613515554344978e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.700000000000000000e+01,6.800000000000000488e-01,5.414378512880152705e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.800000000000000000e+01,7.199999999999999734e-01,5.438169644145240511e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.900000000000000000e+01,7.600000000000000089e-01,5.458556490333305256e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.000000000000000000e+01,8.000000000000000444e-01,5.475170221304071383e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.100000000000000000e+01,8.399999999999999689e-01,5.487710268511138523e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.200000000000000000e+01,8.800000000000000044e-01,5.495949762760136359e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.300000000000000000e+01,9.200000000000000400e-01,5.499739638629586480e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.400000000000000000e+01,9.599999999999999645e-01,5.499011331299031191e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.500000000000000000e+01,1.000000000000000000e+00,5.493778016994573576e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.600000000000000000e+01,1.040000000000000036e+00,5.484134374610204254e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.700000000000000000e+01,1.080000000000000071e+00,5.470254872817562841e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.800000000000000000e+01,1.120000000000000107e+00,5.452390613653027351e+00,4.353773696140125771e-01,7.109944708812197291e-03
2.900000000000000000e+01,1.159999999999999920e+00,5.430864789686589589e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.000000000000000000e+01,1.199999999999999956e+00,5.406066836959501742e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.100000000000000000e+01,1.239999999999999991e+00,5.378445389473241356e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.200000000000000000e+01,1.280000000000000027e+00,5.348500162694191928e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.300000000000000000e+01,1.320000000000000062e+00,5.316772912914209392e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.400000000000000000e+01,1.360000000000000098e+00,5.283837636026476936e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.500000000000000000e+01,1.400000000000000133e+00,5.250290183036216973e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.600000000000000000e+01,1.439999999999999947e+00,5.216737480178029074e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.700000000000000000e+01,1.479999999999999982e+00,5.183786548664887306e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.800000000000000000e+01,1.520000000000000018e+00,5.152033522718832970e+00,4.353773696140125771e-01,7.109944708812197291e-03
3.900000000000000000e+01,1.560000000000000053e+00,5.122052864564468067e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.000000000000000000e+01,1.600000000000000089e+00,5.094386971503005235e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.100000000000000000e+01,1.640000000000000124e+00,5.069536363091247111e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.200000000000000000e+01,1.679999999999999938e+00,5.047950625954899628e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.300000000000000000e+01,1.719999999999999973e+00,5.030020280058770332e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.400000000000000000e+01,1.760000000000000009e+00,5.016069713585860512e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.500000000000000000e+01,1.800000000000000044e+00,5.006351314244481543e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.600000000000000000e+01,1.840000000000000080e+00,5.001040903177309538e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.700000000000000000e+01,1.880000000000000115e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.800000000000000000e+01,1.919999999999999929e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
4.900000000000000000e+01,1.959999999999999964e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.100000000000000000e+01,2.040000000000000036e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.200000000000000000e+01,2.080000000000000071e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.300000000000000000e+01,2.120000000000000107e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.400000000000000000e+01,2.160000000000000142e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.500000000000000000e+01,2.200000000000000178e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.600000000000000000e+01,2.240000000000000213e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.700000000000000000e+01,2.280000000000000249e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.800000000000000000e+01,2.319999999999999840e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
5.900000000000000000e+01,2.359999999999999876e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.000000000000000000e+01,2.399999999999999911e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.100000000000000000e+01,2.439999999999999947e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.200000000000000000e+01,2.479999999999999982e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.300000000000000000e+01,2.520000000000000018e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.400000000000000000e+01,2.560000000000000053e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.500000000000000000e+01,2.600000000000000089e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.600000000000000000e+01,2.640000000000000124e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.700000000000000000e+01,2.680000000000000160e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.800000000000000000e+01,2.720000000000000195e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
6.900000000000000000e+01,2.760000000000000231e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.000000000000000000e+01,2.800000000000000266e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.100000000000000000e+01,2.839999999999999858e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.200000000000000000e+01,2.879999999999999893e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.300000000000000000e+01,2.919999999999999929e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.400000000000000000e+01,2.959999999999999964e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.600000000000000000e+01,3.040000000000000036e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.700000000000000000e+01,3.080000000000000071e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.800000000000000000e+01,3.120000000000000107e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
7.900000000000000000e+01,3.160000000000000142e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.000000000000000000e+01,3.200000000000000178e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.100000000000000000e+01,3.240000000000000213e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.200000000000000000e+01,3.280000000000000249e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.300000000000000000e+01,3.320000000000000284e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.400000000000000000e+01,3.359999999999999876e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.500000000000000000e+01,3.399999999999999911e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.600000000000000000e+01,3.439999999999999947e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.700000000000000000e+01,3.479999999999999982e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.800000000000000000e+01,3.520000000000000018e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
8.900000000000000000e+01,3.560000000000000053e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.000000000000000000e+01,3.600000000000000089e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.100000000000000000e+01,3.640000000000000124e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.200000000000000000e+01,3.680000000000000160e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.300000000000000000e+01,3.720000000000000195e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.400000000000000000e+01,3.760000000000000231e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.500000000000000000e+01,3.800000000000000266e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.600000000000000000e+01,3.839999999999999858e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.700000000000000000e+01,3.879999999999999893e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.800000000000000000e+01,3.919999999999999929e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
9.900000000000000000e+01,3.959999999999999964e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
1.000000000000000000e+02,4.000000000000000000e+00,5.000000000000000000e+00,4.353773696140125771e-01,7.109944708812197291e-03
